problem,nl_goal,gt_pddl_goal,gt_plan,proposed_plan
train/pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-426/trial_T20190909_044756_658872,to put an empty roll on the toilet paper holder on the wall.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o ToiletPaperType) 
                (receptacleType ?r ToiletPaperHangerType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation countertop)
(PickupObject toiletpaper)
(GotoLocation toiletpaperhanger)
(PutObject toiletpaper toiletpaperhanger)","(GotoLocation bathroom)
(GotoLocation cabinet)
(PickupObject toiletroll)
(GotoLocation bathroom)
(PutObject toiletroll holder)
"
train/pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-426/trial_T20190909_044756_658872,to put an empty roll on the toilet paper holder on the wall.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o ToiletPaperType) 
                (receptacleType ?r ToiletPaperHangerType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation countertop)
(PickupObject toiletpaper)
(GotoLocation toiletpaperhanger)
(PutObject toiletpaper toiletpaperhanger)","(GotoLocation bathroom)
(PickupObject toiletpaper)
(GotoLocation toiletpaperholder)
(PutObject toiletpaper toiletpaperholder)
"
train/pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-426/trial_T20190909_044756_658872,to put an empty roll on the toilet paper holder on the wall.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o ToiletPaperType) 
                (receptacleType ?r ToiletPaperHangerType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation countertop)
(PickupObject toiletpaper)
(GotoLocation toiletpaperhanger)
(PutObject toiletpaper toiletpaperhanger)","(GotoLocation bathroom)
(PickupObject toiletpaperroll)
(GotoLocation wall)
(PutObject toiletpaperroll toiletpaperholder)
"
train/pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-426/trial_T20190909_044756_658872,to put an empty roll on the toilet paper holder on the wall.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o ToiletPaperType) 
                (receptacleType ?r ToiletPaperHangerType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation countertop)
(PickupObject toiletpaper)
(GotoLocation toiletpaperhanger)
(PutObject toiletpaper toiletpaperhanger)","(GotoLocation bathroom)
(PickupObject toiletroll)
(GotoLocation toiletpaperholder)
(PutObject toiletroll toiletpaperholder)
"
train/pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-426/trial_T20190909_044756_658872,to put an empty roll on the toilet paper holder on the wall.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o ToiletPaperType) 
                (receptacleType ?r ToiletPaperHangerType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation countertop)
(PickupObject toiletpaper)
(GotoLocation toiletpaperhanger)
(PutObject toiletpaper toiletpaperhanger)","(GotoLocation bathroom)
(GotoLocation cabinet)
(PickupObject toiletroll)
(GotoLocation wall)
(PutObject toiletroll holder)
"
train/pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-426/trial_T20190909_044756_658872,to put an empty roll on the toilet paper holder on the wall.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o ToiletPaperType) 
                (receptacleType ?r ToiletPaperHangerType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation countertop)
(PickupObject toiletpaper)
(GotoLocation toiletpaperhanger)
(PutObject toiletpaper toiletpaperhanger)","(GotoLocation bathroom)
(PickupObject emptyroll)
(GotoLocation toiletpaperholder)
(PutObject emptyroll toiletpaperholder)
"
train/pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-426/trial_T20190909_044756_658872,to put an empty roll on the toilet paper holder on the wall.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o ToiletPaperType) 
                (receptacleType ?r ToiletPaperHangerType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation countertop)
(PickupObject toiletpaper)
(GotoLocation toiletpaperhanger)
(PutObject toiletpaper toiletpaperhanger)","(GotoLocation bathroomcabinet)
(PickupObject toiletpaperroll_empty)
(GotoLocation toiletpaperholder)
(PutObject toiletpaperroll_empty toiletpaperholder)
"
train/pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-426/trial_T20190909_044756_658872,to put an empty roll on the toilet paper holder on the wall.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o ToiletPaperType) 
                (receptacleType ?r ToiletPaperHangerType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation countertop)
(PickupObject toiletpaper)
(GotoLocation toiletpaperhanger)
(PutObject toiletpaper toiletpaperhanger)","(GotoLocation bathroomcabinet)
(PickupObject toiletpaper)
(GotoLocation toiletpaperholder)
(PutObject toiletpaper toiletpaperholder)
"
train/pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-426/trial_T20190909_044756_658872,to put an empty roll on the toilet paper holder on the wall.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o ToiletPaperType) 
                (receptacleType ?r ToiletPaperHangerType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation countertop)
(PickupObject toiletpaper)
(GotoLocation toiletpaperhanger)
(PutObject toiletpaper toiletpaperhanger)","(GotoLocation bathroom)
(GotoLocation cabinet)
(PickupObject toilet_paper_roll)
(GotoLocation bathroom)
(PutObject toilet_paper_roll wall_holder)
"
train/pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-426/trial_T20190909_044756_658872,to put an empty roll on the toilet paper holder on the wall.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o ToiletPaperType) 
                (receptacleType ?r ToiletPaperHangerType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation countertop)
(PickupObject toiletpaper)
(GotoLocation toiletpaperhanger)
(PutObject toiletpaper toiletpaperhanger)","(GotoLocation bathroom)
(PickupObject toiletpaperroll)
(GotoLocation wall)
(PutObject toiletpaperroll wall)
"
train/pick_and_place_simple-Vase-None-Safe-204/trial_T20190919_000336_714640,put a blue vase in the safe on the floor.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o VaseType) 
                (receptacleType ?r SafeType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation diningtable)
(PickupObject vase)
(GotoLocation safe)
(PutObject vase safe)","(GotoLocation cabinet)
(PickupObject vase)
(GotoLocation safe)
(PutObject vase safe)
"
train/pick_and_place_simple-Vase-None-Safe-204/trial_T20190919_000336_714640,put a blue vase in the safe on the floor.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o VaseType) 
                (receptacleType ?r SafeType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation diningtable)
(PickupObject vase)
(GotoLocation safe)
(PutObject vase safe)","(GotoLocation shelf)
(PickupObject bluevase)
(GotoLocation floor)
(GotoLocation safe)
(PutObject bluevase safe)
"
train/pick_and_place_simple-Vase-None-Safe-204/trial_T20190919_000336_714640,put a blue vase in the safe on the floor.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o VaseType) 
                (receptacleType ?r SafeType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation diningtable)
(PickupObject vase)
(GotoLocation safe)
(PutObject vase safe)","(GotoLocation shelf)
(PickupObject bluevase)
(GotoLocation floor)
(PutObject bluevase safe)
"
train/pick_and_place_simple-Vase-None-Safe-204/trial_T20190919_000336_714640,put a blue vase in the safe on the floor.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o VaseType) 
                (receptacleType ?r SafeType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation diningtable)
(PickupObject vase)
(GotoLocation safe)
(PutObject vase safe)","(GotoLocation shelf)
(PickupObject bluevase)
(GotoLocation floor)
(GotoLocation safe)
(PutObject bluevase safe)
"
train/pick_and_place_simple-Vase-None-Safe-204/trial_T20190919_000336_714640,put a blue vase in the safe on the floor.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o VaseType) 
                (receptacleType ?r SafeType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation diningtable)
(PickupObject vase)
(GotoLocation safe)
(PutObject vase safe)","(GotoLocation shelf)
(PickupObject vase)
(GotoLocation floor)
(PutObject vase safe)
"
train/pick_and_place_simple-Vase-None-Safe-204/trial_T20190919_000336_714640,put a blue vase in the safe on the floor.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o VaseType) 
                (receptacleType ?r SafeType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation diningtable)
(PickupObject vase)
(GotoLocation safe)
(PutObject vase safe)","(PickupObject agent1 loc_bar_1_bar__minus_10_bar__minus_5_bar_45 vase_5_dot_0432_comma_5_dot_0432_comma_2_dot_314_comma_2_dot_314_comma__minus_3_dot_76612104_comma__minus_3_dot_76612104 floor__minus_3_dot_683_comma__minus_3_dot_683_comma__minus_2_dot_462_comma__minus_2_dot_462_comma__minus_2_dot_2836_comma__minus_2_dot_2836)
(PutObject agent1 loc_bar_9_bar_9_bar__minus_1_bar_45 vasety vase_5_dot_0432_comma_5_dot_0432_comma_2_dot_314_comma_2_dot_314_comma__minus_3_dot_76612104_comma__minus_3_dot_76612104 safesmall_9_dot_816_comma_9_dot_816_comma_0_dot_084_comma_0_dot_084_comma__minus_0_dot_0_comma__minus_0_dot_0)
"
