operator_name,gt_operator,codex_raw_operator,codex_preprocessed_operator,
OpenObject,"(:action OpenObject
        :parameters (?a - agent ?l - location ?r - receptacle)
        :precondition (and
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (openable ?r)
            
            
            
            
        )
        :effect (and
            (opened ?r)
        )
    )","
;; Operator, OpenObject.
;; OpenObject takes any object to open using a specific tool of type KeyErrorType.
;; KeyErrorType is an otype. Therefore, the tool is an object.
;; Parameters: ?a - agent, ?l - location of object to be opened; ?o - object to be opened, ?toolobject - object to use to open the object.
;; Preconditions: The toolobject is a KeyErrorType, the agent is at a location and the object to be opened is at the same location, the object is openable, and the agent is holding the tool.
;; Postconditions: the ?o object is now opened.
(:action OpenObject
        :parameters (?a - agent ?l - location ?o - object ?toolobject - object)
        :precondition (and
            (objectType ?toolobject KeyErrorType)
            (atLocation ?a ?l)
            (objectAtLocation ?o ?l)
            (openable ?o)
            (holds ?a ?toolobject)
        )
        :effect (and
            (opened ?o)
        )
    )
",FAILED,
OpenObject,"(:action OpenObject
        :parameters (?a - agent ?l - location ?r - receptacle)
        :precondition (and
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (openable ?r)
            
            
            
            
        )
        :effect (and
            (opened ?r)
        )
    )","
;; Operator, OpenObject.
;; OpenObject takes any object to open using a specific tool receptacle of type DrawerType.
;; DrawerType is an rtype. Therefore, the tool receptacle is a receptacle.
;; Parameters: ?a - agent, ?l - location of object to be opened; ?o - object to be opened, ?toolreceptacle - receptacle to use to open the object.
;; Preconditions: The toolreceptacle is a DrawerType, the agent is at a location and the object to be opened is at the same location, the object is openable, and the agent is holding any object.
;; Postconditions: the ?o object is now opened.
(:action OpenObject
        :parameters (?a - agent ?l - location ?o - object ?toolreceptacle - receptacle)
        :precondition (and
            (receptacleType ?toolreceptacle DrawerType)
            (atLocation ?a ?l)
            (objectAtLocation ?o ?l)
            (openable ?o)
            (holdsAny ?a)
        )
        :effect (and
            (opened ?o)
        )
    )
",FAILED,
OpenObject,"(:action OpenObject
        :parameters (?a - agent ?l - location ?r - receptacle)
        :precondition (and
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (openable ?r)
            
            
            
            
        )
        :effect (and
            (opened ?r)
        )
    )","
;; Operator, OpenObject.
;; OpenObject takes any object to open without any tool.
;; Parameters: ?a - agent, ?l - location of object to be opened; ?o - object to be opened.
;; Preconditions: The agent is at a location and the object to be opened is at the same location, the object is openable.
;; Postconditions: the ?o object is now opened.
(:action OpenObject
        :parameters (?a - agent ?l - location ?o - object)
        :precondition (and
            (atLocation ?a ?l)
            (objectAtLocation ?o ?l)
            (openable ?o)
        )
        :effect (and
            (opened ?o)
        )
    )
",FAILED,
CloseObject,"(:action CloseObject
        :parameters (?a - agent ?al - location ?r - receptacle)
        :precondition (and
            (atLocation ?a ?al)
            (receptacleAtLocation ?r ?al)
            (openable ?r)
            (opened ?r)
        )
        :effect (and
            (not (opened ?r))
        )

    )","
(:action CloseObject
        :parameters (?a - agent ?l - location ?r - receptacle)
        :precondition (and
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (openable ?r)
            (opened ?r)
        )
        :effect (and
            (not (opened ?r))
        )
    )
","(:action CloseObject_0
        :parameters (?a - agent ?l - location ?r - receptacle)

        :precondition (and 
		(atLocation ?a ?l)
		(receptacleAtLocation ?r ?l)
		(openable ?r)
		(opened ?r)
		)
        :effect (and 
		(not (opened ?r))
		)
)",
CloseObject,"(:action CloseObject
        :parameters (?a - agent ?al - location ?r - receptacle)
        :precondition (and
            (atLocation ?a ?al)
            (receptacleAtLocation ?r ?al)
            (openable ?r)
            (opened ?r)
        )
        :effect (and
            (not (opened ?r))
        )

    )","
(:action CloseObject
        :parameters (?a - agent ?l - location ?r - receptacle ?toolobject - object)
        :precondition (and
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (openable ?r)
            (opened ?r)
            (holds ?a ?toolobject)
            (objectType ?toolobject KeyChainType)
        )
        :effect (and
            (not (opened ?r))
        )
    )
","(:action CloseObject_1
        :parameters (?a - agent ?l - location ?r - receptacle ?toolobject - object)

        :precondition (and 
		(atLocation ?a ?l)
		(receptacleAtLocation ?r ?l)
		(openable ?r)
		(opened ?r)
		(holds ?a ?toolobject)
		(objectType ?toolobject KeyChainType)
		)
        :effect (and 
		(not (opened ?r))
		)
)",
CloseObject,"(:action CloseObject
        :parameters (?a - agent ?al - location ?r - receptacle)
        :precondition (and
            (atLocation ?a ?al)
            (receptacleAtLocation ?r ?al)
            (openable ?r)
            (opened ?r)
        )
        :effect (and
            (not (opened ?r))
        )

    )","
(:action CloseObject
        :parameters (?a - agent ?l - location ?r - receptacle ?toolreceptacle - receptacle)
        :precondition (and
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (openable ?r)
            (opened ?r)
            (holds ?a ?toolreceptacle)
            (receptacleType ?toolreceptacle SafeType)
        )
        :effect (and
            (not (opened ?r))
        )
    )
","(:action CloseObject_2
        :parameters (?a - agent ?l - location ?r - receptacle ?toolreceptacle - object)

        :precondition (and 
		(atLocation ?a ?l)
		(receptacleAtLocation ?r ?l)
		(openable ?r)
		(opened ?r)
		(holds ?a ?toolreceptacle)
		)
        :effect (and 
		(not (opened ?r))
		)
)",
WashObject,,"
;; Operator, WashObject with a scrub brush.
;; WashObjectScrubBrush takes an object to wash and a scrub brush to wash it with.
;; Parameters: ?a - agent, ?l - location of the object; ?o - object to be washed, ?toolobject - scrub brush.
;; Preconditions: The toolobject is a ScrubBrushType, the agent is at a location and the object to be washed is at the same location, the object is cleanable, and the agent is holding the scrub brush.
;; Postconditions: the ?o object is now clean.
(:action WashObjectScrubBrush
        :parameters (?a - agent ?l - location ?o - object ?toolobject - object)
        :precondition (and
            (objectType ?toolobject ScrubBrushType)
            (atLocation ?a ?l)
            (objectAtLocation ?o ?l)
            (cleanable ?o)
            (holds ?a ?toolobject)
        )
        :effect (and
            (isClean ?o)
        )
    )
","(:action WashObject_0
        :parameters (?toolobject - object ?a - agent ?l - location ?o - object)

        :precondition (and 
		(objectType ?toolobject ScrubBrushType)
		(atLocation ?a ?l)
		(objectAtLocation ?o ?l)
		(cleanable ?o)
		(holds ?a ?toolobject)
		)
        :effect (and 
		(isClean ?o)
		)
)",
WashObject,,"
;; Operator, WashObject with a dish sponge.
;; WashObjectDishSponge takes an object to wash and a dish sponge to wash it with.
;; Parameters: ?a - agent, ?l - location of the object; ?o - object to be washed, ?toolobject - dish sponge.
;; Preconditions: The toolobject is a DishSpongeType, the agent is at a location and the object to be washed is at the same location, the object is cleanable, and the agent is holding the dish sponge.
;; Postconditions: the ?o object is now clean.
(:action WashObjectDishSponge
        :parameters (?a - agent ?l - location ?o - object ?toolobject - object)
        :precondition (and
            (objectType ?toolobject DishSpongeType)
            (atLocation ?a ?l)
            (objectAtLocation ?o ?l)
            (cleanable ?o)
            (holds ?a ?toolobject)
        )
        :effect (and
            (isClean ?o)
        )
    )
","(:action WashObject_1
        :parameters (?toolobject - object ?a - agent ?l - location ?o - object)

        :precondition (and 
		(objectType ?toolobject DishSpongeType)
		(atLocation ?a ?l)
		(objectAtLocation ?o ?l)
		(cleanable ?o)
		(holds ?a ?toolobject)
		)
        :effect (and 
		(isClean ?o)
		)
)",
WashObject,,"
;; Operator, WashObject without using any tools.
;; WashObjectNoTool takes an object to wash.
;; Parameters: ?a - agent, ?l - location of the object; ?o - object to be washed.
;; Preconditions: The agent is at a location and the object to be washed is at the same location, and the object is cleanable.
;; Postconditions: the ?o object is now clean.
(:action WashObjectNoTool
        :parameters (?a - agent ?l - location ?o - object)
        :precondition (and
            (atLocation ?a ?l)
            (objectAtLocation ?o ?l)
            (cleanable ?o)
        )
        :effect (and
            (isClean ?o)
        )
    )
","(:action WashObject_2
        :parameters (?a - agent ?l - location ?o - object)

        :precondition (and 
		(atLocation ?a ?l)
		(objectAtLocation ?o ?l)
		(cleanable ?o)
		)
        :effect (and 
		(isClean ?o)
		)
)",
RinseObject,,"
;; Operator, RinseObject1.
;; RinseObject1 takes an object to rinse and a specific tool of type WateringCanType.
;; WateringCanType is an otype. Therefore, the tool is an object.
;; Parameters: ?a - agent, ?l - location of the object to be rinsed; ?o - object to be rinsed; ?toolobject - object to rinse with.
;; Preconditions: The toolobject is a WateringCanType, the agent is at a location and the object to be rinsed is at the same location, the agent is holding the tool, and the object is cleanable.
;; Postconditions: the ?o object is now clean.
(:action RinseObject1
    :parameters (?a - agent ?l - location ?o - object ?toolobject - object)
    :precondition (and
        (objectType ?toolobject WateringCanType)
        (atLocation ?a ?l)
        (objectAtLocation ?o ?l)
        (cleanable ?o)
        (holds ?a ?toolobject)
    )
    :effect (and
        (isClean ?o)
    )
)
","(:action RinseObject_0
        :parameters (?toolobject - object ?a - agent ?l - location ?o - object)

        :precondition (and 
		(objectType ?toolobject WateringCanType)
		(atLocation ?a ?l)
		(objectAtLocation ?o ?l)
		(cleanable ?o)
		(holds ?a ?toolobject)
		)
        :effect (and 
		(isClean ?o)
		)
)",
