problem,nl_goal,gt_pddl_goal,codex_raw_goals,codex_preprocessed_goal,correct_pddl_goal
train/look_at_obj_in_light-AlarmClock-None-DeskLamp-309/trial_T20190908_062755_880343,examine an alarm clock by the light of a table lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o AlarmClockType)
                (holds ?a ?o)
            )
    ))))))","['(:goal\n\t(exists (?r2 - receptacle)\n(exists (?r1 - receptacle)\n(exists (?o - object)\n(exists (?l2 - location)\n(exists (?a - agent)\n(and \n\t\t(objectType ?o AlarmClockType)\n\t\t(receptacleType ?r2 DiningTableType)\n\t\t(inReceptacle ?o ?r1)\n\t\t(atLocation ?a ?l2)\n\t\t(objectAtLocation ?o ?l2)))))))\n)', ""\n;; PDDL guess 1 for 'examine an alarm clock by the light of a table lamp.'\n;; Simplified Goal: \nlook_at_obj_in_light-AlarmClock-None-DeskLamp\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o AlarmClockType)\n                (holds ?a ?o)\n            )\n    ))))))\n"", ""\n;; PDDL guess 2 for 'examine an alarm clock by the light of a table lamp.'\n;; Simplified Goal: \nlook_at_obj_in_light-AlarmClock-None-DeskLamp\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o AlarmClockType)\n                (holds ?a ?o)\n            )\n    ))))))\n"", ""\n;; PDDL guess 3 for 'examine an alarm clock by the light of a table lamp.'\n;; Simplified Goal: \nlook_at_obj_in_light-AlarmClock-None-DeskLamp\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o AlarmClockType)\n                (holds ?a ?o)\n            )\n    ))))))\n"", ""\n;; PDDL guess 4 for 'examine an alarm clock by the light of a table lamp.'\n;; Simplified Goal: \nlook_at_obj_in_light-AlarmClock-None-DeskLamp\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o AlarmClockType)\n                (holds ?a ?o)\n            )\n    ))))))\n""]","(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?ot DeskLampType)
		(toggleable ?ot)
		(isToggled ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(objectType ?o AlarmClockType)
		(holds ?a ?o))))))
)",True
train/look_at_obj_in_light-AlarmClock-None-DeskLamp-309/trial_T20190908_062755_880343,examine an alarm clock by the light of a table lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o AlarmClockType)
                (holds ?a ?o)
            )
    ))))))","['(:goal\n\t(exists (?r2 - receptacle)\n(exists (?r1 - receptacle)\n(exists (?o - object)\n(exists (?l2 - location)\n(exists (?a - agent)\n(and \n\t\t(objectType ?o AlarmClockType)\n\t\t(receptacleType ?r2 DiningTableType)\n\t\t(inReceptacle ?o ?r1)\n\t\t(atLocation ?a ?l2)\n\t\t(objectAtLocation ?o ?l2)))))))\n)', ""\n;; PDDL guess 1 for 'examine an alarm clock by the light of a table lamp.'\n;; Simplified Goal: \nlook_at_obj_in_light-AlarmClock-None-DeskLamp\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o AlarmClockType)\n                (holds ?a ?o)\n            )\n    ))))))\n"", ""\n;; PDDL guess 2 for 'examine an alarm clock by the light of a table lamp.'\n;; Simplified Goal: \nlook_at_obj_in_light-AlarmClock-None-DeskLamp\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o AlarmClockType)\n                (holds ?a ?o)\n            )\n    ))))))\n"", ""\n;; PDDL guess 3 for 'examine an alarm clock by the light of a table lamp.'\n;; Simplified Goal: \nlook_at_obj_in_light-AlarmClock-None-DeskLamp\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o AlarmClockType)\n                (holds ?a ?o)\n            )\n    ))))))\n"", ""\n;; PDDL guess 4 for 'examine an alarm clock by the light of a table lamp.'\n;; Simplified Goal: \nlook_at_obj_in_light-AlarmClock-None-DeskLamp\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o AlarmClockType)\n                (holds ?a ?o)\n            )\n    ))))))\n""]","(:goal
	(exists (?r2 - receptacle)
(exists (?r1 - receptacle)
(exists (?o - object)
(exists (?l2 - location)
(exists (?a - agent)
(and 
		(objectType ?o AlarmClockType)
		(receptacleType ?r2 DiningTableType)
		(inReceptacle ?o ?r1)
		(atLocation ?a ?l2)
		(objectAtLocation ?o ?l2)))))))
)",True
train/look_at_obj_in_light-Laptop-None-FloorLamp-205/trial_T20190907_130015_600297,examine a laptop by the dim light of a living room.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot FloorLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o LaptopType)
                (holds ?a ?o)
            )
    ))))))","[""\n;; PDDL guess 1 for 'examine a laptop by the dim light of a living room.'\n;; Simplified Goal: \nlook_at_obj_in_light-Laptop-None-FloorLamp\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o LaptopType)\n                (holds ?a ?o)\n            )\n    ))))))\n\n"", ""\n;; PDDL guess 2 for 'examine a laptop by the dim light of a living room.'\n;; Simplified Goal: \nlook_at_obj_in_light-Laptop-None-FloorLamp\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o LaptopType)\n                (holds ?a ?o)\n            )\n    ))))))\n\n"", ""\n;; PDDL guess 3 for 'examine a laptop by the dim light of a living room.'\n;; Simplified Goal: \nlook_at_obj_in_light-Laptop-None-FloorLamp\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o LaptopType)\n                (holds ?a ?o)\n            )\n    ))))))\n\n"", ""\n;; PDDL guess 4 for 'examine a laptop by the dim light of a living room.'\n;; Simplified Goal: \nlook_at_obj_in_light-Laptop-None-FloorLamp\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o LaptopType)\n                (holds ?a ?o)\n            )\n    ))))))\n\n""]","(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?ot FloorLampType)
		(toggleable ?ot)
		(isToggled ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(objectType ?o LaptopType)
		(holds ?a ?o))))))
)",True
train/pick_and_place_simple-Bowl-None-CoffeeTable-201/trial_T20190907_171714_885383,set the bowl on the coffee table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BowlType) 
                (receptacleType ?r CoffeeTableType)
                (inReceptacle ?o ?r) 
            )
    )))","[""\n;; PDDL guess 1 for 'set the bowl on the coffee table.'\n;; Simplified Goal: \npick_and_place_simple-Bowl-None-CoffeeTable\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BowlType) \n                (receptacleType ?r CoffeeTableType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n"", ""\n;; PDDL guess 2 for 'set the bowl on the coffee table.'\n;; Simplified Goal: \npick_and_place_simple-Plate-None-CoffeeTable\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PlateType) \n                (receptacleType ?r CoffeeTableType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n"", ""\n;; PDDL guess 3 for 'set the bowl on the coffee table.'\n;; Simplified Goal: \npick_and_place_simple-Box-None-CoffeeTable\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BoxType) \n                (receptacleType ?r CoffeeTableType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n"", ""\n;; PDDL guess 4 for 'set the bowl on the coffee table.'\n;; Simplified Goal: \npick_and_place_simple-Cup-None-CoffeeTable\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o CupType) \n                (receptacleType ?r CoffeeTableType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n""]","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o BowlType)
		(receptacleType ?r CoffeeTableType)
		(inReceptacle ?o ?r))))
)",True
train/pick_and_place_simple-Box-None-Sofa-220/trial_T20190907_165527_462462,"take the box from the table , put it on the couch.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BoxType) 
                (receptacleType ?r SofaType)
                (inReceptacle ?o ?r) 
            )
    )))","[""\n;; PDDL guess 1 for 'take the box from the table , put it on the couch.'\n;; Simplified Goal: \npick_and_place_simple-Box-None-Sofa\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BoxType) \n                (receptacleType ?r SofaType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n\n"", ""\n;; PDDL guess 2 for 'take the box from the table , put it on the couch.'\n;; Simplified Goal: \npick_and_place_simple-Box-None-Sofa\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BoxType) \n                (receptacleType ?r SofaType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n\n"", ""\n;; PDDL guess 3 for 'take the box from the table , put it on the couch.'\n;; Simplified Goal: \npick_and_place_simple-Box-None-Sofa\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BoxType) \n                (receptacleType ?r SofaType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n\n"", ""\n;; PDDL guess 4 for 'take the box from the table , put it on the couch.'\n;; Simplified Goal: \npick_and_place_simple-Box-None-Sofa\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BoxType) \n                (receptacleType ?r SofaType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n\n""]","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o BoxType)
		(receptacleType ?r SofaType)
		(inReceptacle ?o ?r))))
)",True
train/pick_and_place_simple-KeyChain-None-Dresser-317/trial_T20190910_184933_511149,put keys on the dresser.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o KeyChainType) 
                (receptacleType ?r DresserType)
                (inReceptacle ?o ?r) 
            )
    )))","['\n;; PDDL guess 1 for ""put keys on the dresser.""\n;; Official goal name: pick_and_place_simple-KeyChain-None-Dresser\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o KeyChainType) \n                (receptacleType ?r DresserType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 2 for ""put keys on the dresser.""\n;; Official goal name: pick_and_place_simple-Key-None-Dresser\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o KeyType) \n                (receptacleType ?r DresserType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 3 for ""put keys on the dresser.""\n;; Official goal name: pick_and_place_simple-KeyChain-None-CoffeeTableType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o KeyChainType) \n                (receptacleType ?r CoffeeTableType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 4 for ""put keys on the dresser.""\n;; Official goal name: pick_and_place_simple-Key-None-SideTableType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o KeyType) \n                (receptacleType ?r SideTableType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o KeyChainType)
		(receptacleType ?r DresserType)
		(inReceptacle ?o ?r))))
)",True
train/pick_heat_then_place_in_recep-Egg-None-SinkBasin-8/trial_T20190907_001607_953024,place a cooked egg in the sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o EggType) 
                (receptacleType ?r SinkBasinType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","['(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o EggType)\n\t\t(receptacleType ?r SinkBasinType)\n\t\t(inReceptacle ?o ?r))))\n)', '(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o BasketBallType)\n\t\t(receptacleType ?r SinkBasinType)\n\t\t(inReceptacle ?o ?r))))\n)', '(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o AppleType)\n\t\t(receptacleType ?r SinkBasinType)\n\t\t(inReceptacle ?o ?r))))\n)', '(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o PotatoType)\n\t\t(receptacleType ?r SinkBasinType)\n\t\t(inReceptacle ?o ?r))))\n)', '\n;; PDDL guess 1 for ""place a cooked egg in the sink.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-SinkBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (isHot ?o)\n            )\n    )))\n', '\n;; PDDL guess 2 for ""place a cooked egg in the sink.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-SinkBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and\n                (objectType ?o EggType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (isHot ?o)\n            )\n    )))\n', '\n;; PDDL guess 3 for ""place a cooked egg in the sink.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-SinkBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (isHot ?o)\n            )\n    )))\n', '\n;; PDDL guess 4 for ""place a cooked egg in the sink.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-SinkBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (isHot ?o)\n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o EggType)
		(receptacleType ?r SinkBasinType)
		(inReceptacle ?o ?r))))
)",False
train/pick_heat_then_place_in_recep-Egg-None-SinkBasin-8/trial_T20190907_001607_953024,place a cooked egg in the sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o EggType) 
                (receptacleType ?r SinkBasinType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","['(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o EggType)\n\t\t(receptacleType ?r SinkBasinType)\n\t\t(inReceptacle ?o ?r))))\n)', '(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o BasketBallType)\n\t\t(receptacleType ?r SinkBasinType)\n\t\t(inReceptacle ?o ?r))))\n)', '(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o AppleType)\n\t\t(receptacleType ?r SinkBasinType)\n\t\t(inReceptacle ?o ?r))))\n)', '(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o PotatoType)\n\t\t(receptacleType ?r SinkBasinType)\n\t\t(inReceptacle ?o ?r))))\n)', '\n;; PDDL guess 1 for ""place a cooked egg in the sink.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-SinkBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (isHot ?o)\n            )\n    )))\n', '\n;; PDDL guess 2 for ""place a cooked egg in the sink.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-SinkBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and\n                (objectType ?o EggType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (isHot ?o)\n            )\n    )))\n', '\n;; PDDL guess 3 for ""place a cooked egg in the sink.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-SinkBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (isHot ?o)\n            )\n    )))\n', '\n;; PDDL guess 4 for ""place a cooked egg in the sink.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-SinkBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (isHot ?o)\n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o PotatoType)
		(receptacleType ?r SinkBasinType)
		(inReceptacle ?o ?r))))
)",False
train/pick_heat_then_place_in_recep-Egg-None-SinkBasin-8/trial_T20190907_001607_953024,place a cooked egg in the sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o EggType) 
                (receptacleType ?r SinkBasinType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","['(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o EggType)\n\t\t(receptacleType ?r SinkBasinType)\n\t\t(inReceptacle ?o ?r))))\n)', '(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o BasketBallType)\n\t\t(receptacleType ?r SinkBasinType)\n\t\t(inReceptacle ?o ?r))))\n)', '(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o AppleType)\n\t\t(receptacleType ?r SinkBasinType)\n\t\t(inReceptacle ?o ?r))))\n)', '(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o PotatoType)\n\t\t(receptacleType ?r SinkBasinType)\n\t\t(inReceptacle ?o ?r))))\n)', '\n;; PDDL guess 1 for ""place a cooked egg in the sink.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-SinkBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (isHot ?o)\n            )\n    )))\n', '\n;; PDDL guess 2 for ""place a cooked egg in the sink.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-SinkBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and\n                (objectType ?o EggType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (isHot ?o)\n            )\n    )))\n', '\n;; PDDL guess 3 for ""place a cooked egg in the sink.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-SinkBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (isHot ?o)\n            )\n    )))\n', '\n;; PDDL guess 4 for ""place a cooked egg in the sink.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-SinkBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (isHot ?o)\n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o EggType)
		(receptacleType ?r SinkBasinType)
		(inReceptacle ?o ?r)
		(isHot ?o))))
)",False
train/pick_heat_then_place_in_recep-Egg-None-SinkBasin-8/trial_T20190907_001607_953024,place a cooked egg in the sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o EggType) 
                (receptacleType ?r SinkBasinType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","['(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o EggType)\n\t\t(receptacleType ?r SinkBasinType)\n\t\t(inReceptacle ?o ?r))))\n)', '(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o BasketBallType)\n\t\t(receptacleType ?r SinkBasinType)\n\t\t(inReceptacle ?o ?r))))\n)', '(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o AppleType)\n\t\t(receptacleType ?r SinkBasinType)\n\t\t(inReceptacle ?o ?r))))\n)', '(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o PotatoType)\n\t\t(receptacleType ?r SinkBasinType)\n\t\t(inReceptacle ?o ?r))))\n)', '\n;; PDDL guess 1 for ""place a cooked egg in the sink.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-SinkBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (isHot ?o)\n            )\n    )))\n', '\n;; PDDL guess 2 for ""place a cooked egg in the sink.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-SinkBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and\n                (objectType ?o EggType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (isHot ?o)\n            )\n    )))\n', '\n;; PDDL guess 3 for ""place a cooked egg in the sink.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-SinkBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (isHot ?o)\n            )\n    )))\n', '\n;; PDDL guess 4 for ""place a cooked egg in the sink.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-SinkBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (isHot ?o)\n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o BasketBallType)
		(receptacleType ?r SinkBasinType)
		(inReceptacle ?o ?r))))
)",False
