operator_name,gt_operator,codex_raw_operator,codex_preprocessed_operator,
ThrowObject,,"
(:action ThrowObjectWithoutTool
    :parameters (?a - agent ?lStart - location ?lTarget - location ?o - object)
    :precondition (and
        (atLocation ?a ?lStart)
        (objectAtLocation ?o ?lStart)
    )
    :effect (and
        (not (objectAtLocation ?o ?lStart))
        (objectAtLocation ?o ?lTarget)
    )
)
","(:action ThrowObject_0
        :parameters (?a - agent ?lStart - location ?o - object ?lTarget - location)

        :precondition (and 
		(atLocation ?a ?lStart)
		(objectAtLocation ?o ?lStart)
		)
        :effect (and 
		(not (objectAtLocation ?o ?lStart))
		(objectAtLocation ?o ?lTarget)
		)
)",
ThrowObject,,"
(:action ThrowObjectWithHand
    :parameters (?a - agent ?lStart - location ?lTarget - location ?o - object)
    :precondition (and
        (atLocation ?a ?lStart)
        (objectAtLocation ?o ?lStart)
        (holds ?a ?o)
    )
    :effect (and
        (not (objectAtLocation ?o ?lStart))
        (objectAtLocation ?o ?lTarget)
        (not (holds ?a ?o))
    )
)
","(:action ThrowObject_1
        :parameters (?a - agent ?lStart - location ?o - object ?lTarget - location)

        :precondition (and 
		(atLocation ?a ?lStart)
		(objectAtLocation ?o ?lStart)
		(holds ?a ?o)
		)
        :effect (and 
		(not (objectAtLocation ?o ?lStart))
		(objectAtLocation ?o ?lTarget)
		(not (holds ?a ?o))
		)
)",
ThrowObject,,"
(:action ThrowObjectWithTool
    :parameters (?a - agent ?lStart - location ?lTarget - location ?o - object ?toolobject - object)
    :precondition (and
        (objectType ?toolobject TowelType)
        (atLocation ?a ?lStart)
        (objectAtLocation ?o ?lStart)
        (holds ?a ?toolobject)
    )
    :effect (and
        (not (objectAtLocation ?o ?lStart))
        (objectAtLocation ?o ?lTarget)
        (not (holds ?a ?o))
        (not (holds ?a ?toolobject))
    )
)
",FAILED,
SliceObject,"(:action SliceObject
        :parameters (?a - agent ?l - location ?co - object ?ko - object)
        :precondition (and
            (objectType ?ko KnifeType)
            (atLocation ?a ?l)
            (objectAtLocation ?co ?l)
            (sliceable ?co)
            (holds ?a ?ko)
        )
        :effect (and
            (isSliced ?co)
        )
    )","
(:action SliceObjectWithKnife
        :parameters (?a - agent ?l - location ?o - object ?toolobject - object)
        :precondition (and
            (objectType ?toolobject KnifeType)
            (atLocation ?a ?l)
            (objectAtLocation ?o ?l)
            (sliceable ?o)
            (holds ?a ?toolobject)
        )
        :effect (and
            (isSliced ?o)
        )
    )
","(:action SliceObject_0
        :parameters (?toolobject - object ?a - agent ?l - location ?o - object)

        :precondition (and 
		(objectType ?toolobject KnifeType)
		(atLocation ?a ?l)
		(objectAtLocation ?o ?l)
		(sliceable ?o)
		(holds ?a ?toolobject)
		)
        :effect (and 
		(isSliced ?o)
		)
)",
SliceObject,"(:action SliceObject
        :parameters (?a - agent ?l - location ?co - object ?ko - object)
        :precondition (and
            (objectType ?ko KnifeType)
            (atLocation ?a ?l)
            (objectAtLocation ?co ?l)
            (sliceable ?co)
            (holds ?a ?ko)
        )
        :effect (and
            (isSliced ?co)
        )
    )","
(:action SliceObjectWithGrater
        :parameters (?a - agent ?l - location ?o - object ?toolobject - object)
        :precondition (and
            (objectType ?toolobject GraterType)
            (atLocation ?a ?l)
            (objectAtLocation ?o ?l)
            (sliceable ?o)
            (holds ?a ?toolobject)
        )
        :effect (and
            (isSliced ?o)
        )
    )
","(:action SliceObject_1
        :parameters (?a - agent ?l - location ?o - object ?toolobject - object)

        :precondition (and 
		(atLocation ?a ?l)
		(objectAtLocation ?o ?l)
		(sliceable ?o)
		(holds ?a ?toolobject)
		)
        :effect (and 
		(isSliced ?o)
		)
)",
SliceObject,"(:action SliceObject
        :parameters (?a - agent ?l - location ?co - object ?ko - object)
        :precondition (and
            (objectType ?ko KnifeType)
            (atLocation ?a ?l)
            (objectAtLocation ?co ?l)
            (sliceable ?co)
            (holds ?a ?ko)
        )
        :effect (and
            (isSliced ?co)
        )
    )","
(:action SliceObjectWithoutTool
        :parameters (?a - agent ?l - location ?o - object)
        :precondition (and
            (atLocation ?a ?l)
            (objectAtLocation ?o ?l)
            (sliceable ?o)
        )
        :effect (and
            (isSliced ?o)
        )
    )
","(:action SliceObject_2
        :parameters (?a - agent ?l - location ?o - object)

        :precondition (and 
		(atLocation ?a ?l)
		(objectAtLocation ?o ?l)
		(sliceable ?o)
		)
        :effect (and 
		(isSliced ?o)
		)
)",
CoolObject,"(:action CoolObject
        :parameters (?a - agent ?l - location ?r - receptacle ?o - object)
        :precondition (and
            (receptacleType ?r FridgeType)
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (holds ?a ?o)
        )
        :effect (and
            (isCool ?o)
        )
    )","
;; Operator, CoolObject.
;; CoolObject takes an object to cool and a specific tool of type FreezerType.
;; FreezerType is an rtype. Therefore, the tool is a receptacle.
;; Parameters: ?a - agent, ?l - location of the receptacle; ?o - object to be cooled, ?toolreceptacle - receptacle to cool the object in.
;; Preconditions: The toolreceptacle is a FreezerType, the agent is at a location and the receptacle is at the same location, and the agent is holding the object to be cooled.
;; Postconditions: the ?o object is now cool.
(:action CoolObject
        :parameters (?a - agent ?l - location ?o - object ?toolreceptacle - receptacle)
        :precondition (and
            (receptacleType ?toolreceptacle FreezerType)
            (atLocation ?a ?l)
            (receptacleAtLocation ?toolreceptacle ?l)
            (holds ?a ?o)
        )
        :effect (and
            (isCool ?o)
        )
    )
","(:action CoolObject_0
        :parameters (?a - agent ?l - location ?toolreceptacle - receptacle ?o - object)

        :precondition (and 
		(atLocation ?a ?l)
		(receptacleAtLocation ?toolreceptacle ?l)
		(holds ?a ?o)
		)
        :effect (and 
		(isCool ?o)
		)
)",
CoolObject,"(:action CoolObject
        :parameters (?a - agent ?l - location ?r - receptacle ?o - object)
        :precondition (and
            (receptacleType ?r FridgeType)
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (holds ?a ?o)
        )
        :effect (and
            (isCool ?o)
        )
    )","
;; Operator, CoolObject (optional tool object).
;; CoolObject takes an object to cool and a specific tool of type IceBagType.
;; IceBagType is an otype. Therefore, the tool is an object.
;; Parameters: ?a - agent, ?l - location of the object; ?o - object to be cooled, ?toolobject - object to cool the object with.
;; Preconditions: The toolobject is an IceBagType, the agent is at a location and the object to be cooled is at the same location, and the agent is holding the tool.
;; Postconditions: the ?o object is now cool.
(:action CoolObject
        :parameters (?a - agent ?l - location ?o - object ?toolobject - object)
        :precondition (and
            (objectType ?toolobject IceBagType)
            (atLocation ?a ?l)
            (objectAtLocation ?o ?l)
            (holds ?a ?toolobject)
        )
        :effect (and
            (isCool ?o)
        )
    )
","(:action CoolObject_1
        :parameters (?a - agent ?l - location ?o - object ?toolobject - object)

        :precondition (and 
		(atLocation ?a ?l)
		(objectAtLocation ?o ?l)
		(holds ?a ?toolobject)
		)
        :effect (and 
		(isCool ?o)
		)
)",
CoolObject,"(:action CoolObject
        :parameters (?a - agent ?l - location ?r - receptacle ?o - object)
        :precondition (and
            (receptacleType ?r FridgeType)
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (holds ?a ?o)
        )
        :effect (and
            (isCool ?o)
        )
    )","
;; Operator, CoolObject (no tool object/receptacle).
;; CoolObject takes an object to cool without using a tool object or a tool receptable.
;; Parameters: ?a - agent, ?l - location of the object; ?o - object to be cooled.
;; Preconditions: The agent is at a location and the object to be cooled is at the same location.
;; Postconditions: the ?o object is now cool.
(:action CoolObject
        :parameters (?a - agent ?l - location ?o - object)
        :precondition (and
            (atLocation ?a ?l)
            (objectAtLocation ?o ?l)
        )
        :effect (and
            (isCool ?o)
        )
    )
","(:action CoolObject_2
        :parameters (?a - agent ?l - location ?o - object)

        :precondition (and 
		(atLocation ?a ?l)
		(objectAtLocation ?o ?l)
		)
        :effect (and 
		(isCool ?o)
		)
)",
CookObject,,"
(:action CookObject
        :parameters (?a - agent ?l - location ?o - object ?toolobject - object ?toolreceptacle - object)
        :precondition (and
            (objectType ?toolobject StoveKnobType)
            (objectType ?toolreceptacle PotType)
            (atLocation ?a ?l)
            (objectAtLocation ?o ?l)
            (objectAtLocation ?toolreceptacle ?l)
            (sliceable ?o)
            (holds ?a ?o)
            (holds ?a ?toolobject)
        )
        :effect (and
            (isSliced ?o)
        )
    )
",FAILED,
